tactics_problem_id	rating	rd	attempt_count	average_seconds	move_count	fen	tag
28698	768.0	44.65	64197.0	44.0	2.0	https://lichess.org/analysis/r5k1/p1q2pp1/b1pb3p/n7/B7/2P1rN2/P2N1PPP/R2QK2R_w_KQ_-	Basic Checkmates
40439	1052.0	46.3	63431.0	39.0	1.0	https://lichess.org/analysis/r1bq1rk1/ppp2pp1/2n1pn1p/8/2PP3B/2PB1N2/P5PP/R2Q1RK1_b_-_-	Sacrifice
34079	1002.0	45.5	64642.0	31.0	1.0	https://lichess.org/analysis/r2qr1k1/1p3p1p/p2p2b1/1NpPb3/P3PB2/6Q1/1P4PP/R4RK1_w_-_-	Hanging Piece
35230	829.0	44.97	51634.0	40.0	1.0	https://lichess.org/analysis/2kr3r/ppq1b3/1np1pn2/7p/4P1p1/2NPB1P1/PPP2QBP/2KR3R_b_-_-	Fork / Double Attack
34929	851.0	44.75	57169.0	28.0	1.0	https://lichess.org/analysis/r3k1nr/p1p2p1p/2pP4/8/7q/7b/PPPP2KP/RNBQ3R_w_kq_-	Basic Checkmates
30396	1006.0	44.23	56789.0	35.0	1.0	https://lichess.org/analysis/2krr3/1ppq1ppp/B1n2n2/8/Q2P2b1/2N1P3/P2B1PPP/R4RK1_b_-_-	Vulnerable King
30736	1088.0	45.4	64602.0	36.0	1.0	https://lichess.org/analysis/8/6RP/k4K2/1p3p1r/p7/8/6P1/8_b_-_-	Fork / Double Attack
27153	811.0	44.54	63186.0	23.0	1.0	https://lichess.org/analysis/rn1qr1k1/p3pp1p/3p1bp1/2p4P/2B5/3P2P1/PPP2PQ1/R1B1K1N1_b_Q_-	Hanging Piece
32609	1066.0	45.83	63875.0	32.0	1.0	https://lichess.org/analysis/r4rk1/bppbqpp1/p2p3p/3Pp2n/1PP1P2n/P2B1N1P/3BNPP1/2RQ1RK1_w_-_-	Hanging Piece
36730	964.0	44.42	61515.0	50.0	1.0	https://lichess.org/analysis/3r1br1/1q6/p2p3k/1pp1pp2/1P3n2/P2P3P/2PQN2K/3N1RR1_w_-_-	Mate in 3+
877	854.0	44.67	65097.0	24.0	1.0	https://lichess.org/analysis/2kr1r2/ppp3pp/3q4/3p1p2/3P2P1/2PQ2n1/PP1N1bPP/RNB2R1K_w_-_-_1_2	Back Rank
55122	993.0	44.79	64793.0	27.0	1.0	https://lichess.org/analysis/6k1/3p1ppp/3b4/1B1bB3/1n6/1P3N2/r4PPP/4R1K1_b_-_-	Hanging Piece
40251	1125.0	45.09	65127.0	21.0	1.0	https://lichess.org/analysis/r2qkb1r/pp1n1ppp/4pn2/3pNb2/3P2P1/2N1P3/PP3P1P/R1BQKB1R_b_KQkq_g3	Fork / Double Attack
42303	1006.0	44.45	63510.0	27.0	1.0	https://lichess.org/analysis/r1bq1k2/p4p2/1p1p1p1p/2pBr3/3bP2B/5QP1/P1P2P1P/3R1RK1_b_-_-	Fork / Double Attack
39330	930.0	44.88	59689.0	41.0	1.0	https://lichess.org/analysis/r3k2r/p4pp1/Q2bp2p/2pq3P/5P2/8/PPPB2P1/1K1R3R_b_kq_-	Discovered Attack
41434	1242.0	45.96	65824.0	37.0	1.0	https://lichess.org/analysis/2br3k/p3qn1p/3Rp3/1pp1Pp2/2p2N2/2Q2PP1/PP4BP/6K1_w_-_-	Hanging Piece
31389	1024.0	45.19	64645.0	19.0	1.0	https://lichess.org/analysis/r7/8/P7/1K5R/3k4/8/8/8_b_-_-	Endgame Tactics
31043	1008.0	44.91	63931.0	20.0	1.0	https://lichess.org/analysis/rnnqr3/p3bk1p/1pp3pB/2P1Pp2/2BP4/2N5/PP3P1P/R4RK1_b_-_-	Mating Net
28165	1006.0	44.73	64182.0	41.0	2.0	https://lichess.org/analysis/4b1k1/rp3pp1/2p4p/pPq1NP2/P1P5/2R1pN1P/2nrQ1PK/5R2_w_-_-	Hanging Piece
35885	1105.0	46.43	62827.0	34.0	1.0	https://lichess.org/analysis/2kr4/pp3ppp/1qn5/8/QPP5/4rN2/1P1NbPPP/R1BK3R_w_-_-	Mating Net
35725	1123.0	45.47	64876.0	42.0	1.0	https://lichess.org/analysis/6k1/1p3p1p/p4Pp1/8/q7/1NP2Q2/1P2r1PP/2Kr4_w_-_-	Pin
31253	1212.0	45.66	65716.0	39.0	1.0	https://lichess.org/analysis/4r2r/N4pk1/p2p1qp1/1p1Pp1p1/4P3/P1R4b/1P1Q1P1K/1B2R3_w_-_-	Mate in 3+
32639	1172.0	45.55	59633.0	55.0	1.0	https://lichess.org/analysis/1r2r3/2q2nkp/p1np1pp1/2pb4/2P1PPP1/3Q3P/P2N2B1/R2R2K1_w_-_-	Trapped Piece
28762	1024.0	45.42	65583.0	24.0	1.0	https://lichess.org/analysis/r2Nk3/ppp3p1/2np4/4p3/2B1n3/2NP4/PPP2bP1/R1BQ1K1r_w_q_-	Mate in 1
31037	1054.0	45.08	65136.0	23.0	1.0	https://lichess.org/analysis/3r1rk1/pp2q1bp/4p1p1/2p2P2/2P3n1/1P2Q3/PB1NB2P/R3N1K1_w_-_-	Hanging Piece
36953	1107.0	45.4	58173.0	26.0	1.0	https://lichess.org/analysis/7r/pQ3ppk/4p3/4P3/3P2P1/2P1P1q1/2P4N/6K1_w_-_-	Discovered Attack
34655	1159.0	45.74	64093.0	49.0	1.0	https://lichess.org/analysis/2b5/2r1kp2/pR1p1q2/2pPp1pr/2P1P2p/P3QN1P/5PPK/1R6_b_-_-	Discovered Attack
30035	1224.0	45.67	65063.0	22.0	1.0	https://lichess.org/analysis/r3kb1r/ppq2ppp/2b1pn2/1B6/3P4/2P2Q2/P2BNPPP/1R2K2R_b_Kkq_-	Hanging Piece
31123	1026.0	44.63	62107.0	44.0	1.0	https://lichess.org/analysis/r1bq1k1r/6p1/p2p1p2/1p1P4/5Bn1/1PP5/1P2QPPP/RN2R1K1_b_-_-	Hanging Piece
29617	1181.0	45.73	64906.0	24.0	1.0	https://lichess.org/analysis/5k2/pp3p2/4p3/3rP2R/4K2n/P1B5/1P3P2/8_b_-_-	Exchange Sacrifice
34080	938.0	44.38	60713.0	51.0	1.0	https://lichess.org/analysis/r7/1N1q1pk1/4nn2/p1p5/1pP5/5N1P/PPQ2PK1/4R3_w_-_-	Hanging Piece
31406	1054.0	44.6	64171.0	27.0	1.0	https://lichess.org/analysis/r2q1rk1/2p2ppp/p2pbn2/1p2n3/4PP2/1B2Q3/PPPN2PP/R1B2RK1_b_-_f3	Hanging Piece
32626	902.0	43.81	62391.0	37.0	1.0	https://lichess.org/analysis/3rk2r/1pp1b1pp/p1npB3/4p3/4PPn1/3P4/PPP3PP/RNBK1R2_b_k_-	Hanging Piece
28637	1078.0	45.64	61632.0	47.0	2.0	https://lichess.org/analysis/2R5/p1r2bpk/5p1p/1P6/P1q3P1/3QB2P/1P3P2/1K1R4_b_-_-	Sacrifice
29355	1149.0	45.89	65743.0	27.0	1.0	https://lichess.org/analysis/R7/1p2k2p/2b1P1p1/5p2/3b2P1/1B4KP/P4r2/4R3_w_-_f6	Mating Net
27613	1144.0	45.47	64190.0	40.0	1.0	https://lichess.org/analysis/8/5pk1/1b4p1/1P1pp1Pp/R2P2qP/2R2N2/1P3P2/5K2_w_-_-	Hanging Piece
29149	574.0	43.61	53306.0	23.0	1.0	https://lichess.org/analysis/r5r1/pQ5p/1qR5/2k1p3/4P3/2PP4/P1P3PP/6K1_b_-_-	Mate in 1
31582	929.0	44.37	63405.0	22.0	1.0	https://lichess.org/analysis/7r/2p2pk1/p2pnq2/2n3p1/3NP1Q1/2P1BPP1/P5K1/1R6_b_-_-	Fork / Double Attack
35687	1255.0	44.53	61113.0	43.0	1.0	https://lichess.org/analysis/5r2/pp2bppk/2n2P1p/4P2n/1qp1P3/5N1P/PB2QP2/1B1R3K_b_-_-	Sacrifice
30592	1178.0	45.23	65126.0	40.0	1.0	https://lichess.org/analysis/3r1rk1/pppq2pp/1Bn5/3p1bQ1/2P5/2N5/PP2B1PP/3R1RK1_b_-_-	Fork / Double Attack
37000	1114.0	44.06	63413.0	23.0	1.0	https://lichess.org/analysis/rn1qkb1r/pp2pppp/2p2n2/8/4N1b1/5NP1/PPPPQP1P/R1B1KB1R_b_KQkq_-	Pin
38036	790.0	43.76	61609.0	19.0	1.0	https://lichess.org/analysis/2k1rbr1/ppqn2p1/8/3pp1Pp/P2B1P1P/1P3RN1/2PQ4/R3K3_w_Q_-	Discovered Attack
26878	1097.0	45.61	61847.0	45.0	1.0	https://lichess.org/analysis/1k1r3r/ppp1bp2/2qp2p1/3b3p/4N2P/1PPnBBQ1/P4PP1/R2K2NR_w_-_-	Hanging Piece
27106	746.0	44.03	47007.0	35.0	1.0	https://lichess.org/analysis/r1bqr1k1/ppp2pp1/2n2b1p/8/2BpN3/P3PN2/1P3PPP/R2QK2R_w_KQ_-	Hanging Piece
26961	994.0	44.01	59919.0	36.0	1.0	https://lichess.org/analysis/r1b2rk1/pp2bppp/4q3/4p3/3pQ3/P2P3P/1PPBBPP1/R3K2R_w_KQ_-	Fork / Double Attack
43287	909.0	44.58	57600.0	41.0	1.0	https://lichess.org/analysis/r1b2Rnq/1p1kn3/p2p4/2P1p3/1PQpP1p1/3Bb1P1/P5PP/5R1K_w_-_-	Defense
33334	1063.0	45.17	64887.0	36.0	1.0	https://lichess.org/analysis/8/2R1pk1p/3p1pp1/3P3n/1P1QP1P1/2B4P/r3qP2/6K1_b_-_g3	Hanging Piece
26775	943.0	45.05	61665.0	23.0	2.0	https://lichess.org/analysis/3r3r/pp2kpp1/2p3p1/8/3PP3/8/PP1KB1Rn/R7_w_-_-	Sacrifice
29416	1174.0	45.26	64475.0	52.0	1.0	https://lichess.org/analysis/2rr3k/pb3pq1/1p2p2p/3PR2P/2P5/3BQ3/P5P1/5RK1_b_-_-_0_1	Attacking Castled King
41823	1239.0	45.76	64876.0	22.0	1.0	https://lichess.org/analysis/4k2r/pp2nppp/4p3/Pb1pP1B1/3r4/5N2/4KPPP/R3R3_w_k_-	Mate in 1
29852	1088.0	46.03	64063.0	46.0	1.0	https://lichess.org/analysis/r2q2k1/1b2prb1/p2p2pp/8/1p1Pn2N/1P1Q2BP/NP3PP1/R3R1K1_b_-_-	Exchange Sacrifice
36371	1187.0	45.97	65382.0	28.0	1.0	https://lichess.org/analysis/rnbqk2r/pppp1ppp/5n2/8/1bB1P3/2p2N2/PP3PPP/RNBQK2R_w_KQkq_-	Discovered Attack
30501	1012.0	45.68	64921.0	35.0	1.0	https://lichess.org/analysis/r2qkb1Q/p2p1p1p/bp2p3/2PpP3/3P4/3n1N2/PP3PPP/R1BK3R_b_q_-	Pin
44843	1092.0	44.54	61944.0	32.0	1.0	https://lichess.org/analysis/r5k1/pp3pp1/4r1q1/1P2n2p/2PRb2N/P3P3/3QBPPP/R6K_b_-_-	Hanging Piece
36616	1131.0	46.27	65197.0	40.0	1.0	https://lichess.org/analysis/4r2k/2q3pp/p4r2/3R4/Np2n1Q1/8/PPP3PP/2K1R3_b_-_-	Hanging Piece
41291	903.0	44.68	63365.0	25.0	1.0	https://lichess.org/analysis/k2rbr2/p3q1b1/B1N3p1/3p3p/N7/1R2QP2/PPP5/1K5R_b_-_-	Mate in 1
44304	978.0	44.54	60028.0	32.0	1.0	https://lichess.org/analysis/r1bqk2r/p1ppbppp/1p6/6B1/2Pnn3/P1N5/1P2PPPP/R2QKB1R_w_KQkq_-	Hanging Piece
28183	923.0	44.97	59009.0	41.0	1.0	https://lichess.org/analysis/8/6k1/p2P1p2/2P5/5pq1/7p/PP3Q1K/8_b_-_-	Pawn Promotion
33723	1204.0	46.21	63181.0	50.0	1.0	https://lichess.org/analysis/7r/3k1p2/pr1p3p/2pP2p1/5P2/2P1q1P1/2Q3P1/2KR1R2_w_-_-	Back Rank
28307	671.0	43.56	54251.0	33.0	1.0	https://lichess.org/analysis/r1bqkb1r/pp2nppp/8/1Np1n3/8/1B2B3/PPP2PPP/RN1Q1RK1_b_kq_-	Smothered Mate
33973	743.0	43.54	58529.0	21.0	1.0	https://lichess.org/analysis/1r2r1k1/R1nq1pbp/3p1np1/1p1P4/2p1PP2/2N2B1P/1PQ3P1/2B2RK1_b_-_-	Pin
39775	1082.0	45.5	64345.0	43.0	1.0	https://lichess.org/analysis/r4k1r/1b3Bbp/p3np2/q2N4/1p6/2N5/PP3PPP/R2QR1K1_b_-_-	Hanging Piece
43464	1118.0	44.94	63478.0	19.0	1.0	https://lichess.org/analysis/r1bqkbnr/pppp1ppp/8/3Pp3/2PnP3/6P1/PP3P1P/RNBQKBNR_w_KQkq_-	Basic Checkmates
40948	1143.0	45.55	64653.0	45.0	2.0	https://lichess.org/analysis/r2qkb1r/pR3ppp/2n1b3/2p1p3/8/2P2QP1/P1PP1PBP/2B1K1NR_b_Kkq_-	Queen Sacrifice
