tactics_problem_id	rating	rd	attempt_count	average_seconds	move_count	fen	count	Duplicate with	FULL	tags	Problem ID	Cluster
27060	1070.0	44.38	62172.0	30.0	1.0	https://lichess.org/analysis/r2q2k1/1R3pp1/2pbp2p/3p4/3N4/4P1P1/1RQ2PPK/r7_w_-_-	5772		 27. Nxc6 Qh4#	Pin	27060.0	7.0
29417	1106.0	45.19	65385.0	53.0	1.0	https://lichess.org/analysis/r4k2/2qpb1p1/p4nQ1/1p2p1B1/3N4/2P2P2/PP1R1P1r/2K1R3_b_-_-	5765		 23. ... Nh5 24. Bxe7+	Simplification	29417.0	7.0
30094	1011.0	44.92	60388.0	42.0	1.0	https://lichess.org/analysis/r1r1n1k1/p2b1pb1/6p1/6P1/2qN4/1p2BP2/PP2N2Q/1K1R3R_w_-_-	5755		 25. axb3 Bf5+	Mating Net	30094.0	7.0
27395	939.0	45.06	60459.0	39.0	1.0	https://lichess.org/analysis/3rr1k1/1p1q1pBp/p5p1/1N1b2Qn/2B5/1PP2P2/6PP/3R1RK1_b_-_-	5721		 22. ... Kxg7 23. Rxd5	Hanging Piece	27395.0	7.0
32696	1098.0	45.5	63930.0	41.0	1.0	https://lichess.org/analysis/1r6/4p1k1/4Pppp/3Pb3/P1N4q/3n3P/1PR1Q1P1/5R1K_b_-_-	5721		 40. ... Qg3 41. Nxe5	Simplification	32696.0	7.0
873	1193.0	46.63	59607.0	54.0	2.0	https://lichess.org/analysis/6K1/3r3r/5kn1/5p1N/5P2/8/8/4R1R1_b_-_-_1_1	5697		 1. ... Rxh5 2. Rxg6+ Kxg6 3. Re6#	Sacrifice	873.0	7.0
28757	952.0	45.2	57965.0	46.0	1.0	https://lichess.org/analysis/2bq1rk1/6pp/8/1p3p2/1b1np1n1/3Q2N1/P1PP1PPP/RNB2RK1_w_-_-	5673		 17. Nxe4 fxe4	Hanging Piece	28757.0	7.0
30666	966.0	43.87	56581.0	21.0	1.0	https://lichess.org/analysis/r2qk3/p1pp2Qp/1p2p3/4P3/2b1N3/2P5/PP4PP/R5K1_b_-_-	5667		 22. ... Qe7 23. Nf6+	Basic Checkmates	30666.0	15.0
31577	947.0	45.5	64382.0	27.0	1.0	https://lichess.org/analysis/5rk1/1R1bq1pp/p7/3p4/2pP4/2P2N1P/5PP1/3Q2K1_b_-_-	5656		 25. ... Rf7 26. Ne5	Fork / Double Attack	31577.0	7.0
40036	930.0	44.12	63003.0	29.0	1.0	https://lichess.org/analysis/3r4/r1knq2p/3R2p1/p1P5/3Q1P2/8/PP5P/K2R4_b_-_-	5646		 36. ... Kc8 37. c6	Discovered Attack	40036.0	7.0
865	912.0	44.06	63545.0	38.0	3.0	https://lichess.org/analysis/6k1/1p2qpb1/p2R2p1/4P3/1P3P1p/2r4P/3Q2PK/8_w_-_-_1_2	5617		 1. Qxc3 Qxd6 2. exd6 Bxc3 3. d7 Bf6	Queen Sacrifice	865.0	15.0
28698	768.0	44.65	64197.0	44.0	2.0	https://lichess.org/analysis/r5k1/p1q2pp1/b1pb3p/n7/B7/2P1rN2/P2N1PPP/R2QK2R_w_KQ_-	5615		 18. fxe3 Bg3+ 19. hxg3 Qxg3#	Basic Checkmates	28698.0	7.0
40439	1052.0	46.3	63431.0	39.0	1.0	https://lichess.org/analysis/r1bq1rk1/ppp2pp1/2n1pn1p/8/2PP3B/2PB1N2/P5PP/R2Q1RK1_b_-_-	5609		 11. ... g5 12. Nxg5	Sacrifice	40439.0	7.0
34079	1002.0	45.5	64642.0	31.0	1.0	https://lichess.org/analysis/r2qr1k1/1p3p1p/p2p2b1/1NpPb3/P3PB2/6Q1/1P4PP/R4RK1_w_-_-	5608		 21. Nxd6 Qxd6	Hanging Piece	34079.0	7.0
35230	829.0	44.97	51634.0	40.0	1.0	https://lichess.org/analysis/2kr3r/ppq1b3/1np1pn2/7p/4P1p1/2NPB1P1/PPP2QBP/2KR3R_b_-_-	5605		 17. ... c5 18. Nb5	Fork / Double Attack	35230.0	7.0
34929	851.0	44.75	57169.0	28.0	1.0	https://lichess.org/analysis/r3k1nr/p1p2p1p/2pP4/8/7q/7b/PPPP2KP/RNBQ3R_w_kq_-	5604		 12. Kg1 Qd4#	Basic Checkmates	34929.0	7.0
30396	1006.0	44.23	56789.0	35.0	1.0	https://lichess.org/analysis/2krr3/1ppq1ppp/B1n2n2/8/Q2P2b1/2N1P3/P2B1PPP/R4RK1_b_-_-	5600		 14. ... Nxd4 15. Bxb7+	Vulnerable King	30396.0	15.0
30736	1088.0	45.4	64602.0	36.0	1.0	https://lichess.org/analysis/8/6RP/k4K2/1p3p1r/p7/8/6P1/8_b_-_-	5589		 51. ... b4 52. Kg6	Fork / Double Attack	30736.0	15.0
27153	811.0	44.54	63186.0	23.0	1.0	https://lichess.org/analysis/rn1qr1k1/p3pp1p/3p1bp1/2p4P/2B5/3P2P1/PPP2PQ1/R1B1K1N1_b_Q_-	5583		 13. ... gxh5 14. Qxa8	Hanging Piece	27153.0	7.0
32609	1066.0	45.83	63875.0	32.0	1.0	https://lichess.org/analysis/r4rk1/bppbqpp1/p2p3p/3Pp2n/1PP1P2n/P2B1N1P/3BNPP1/2RQ1RK1_w_-_-	5583		 16. Ng3 Nxg3	Hanging Piece	32609.0	7.0
36730	964.0	44.42	61515.0	50.0	1.0	https://lichess.org/analysis/3r1br1/1q6/p2p3k/1pp1pp2/1P3n2/P2P3P/2PQN2K/3N1RR1_w_-_-	5582		 28. Ndc3 Rg2+	Mate in 3+	36730.0	7.0
877	854.0	44.67	65097.0	24.0	1.0	https://lichess.org/analysis/2kr1r2/ppp3pp/3q4/3p1p2/3P2P1/2PQ2n1/PP1N1bPP/RNB2R1K_w_-_-_1_2	5579		 1. hxg3 Qh6#	Back Rank	877.0	14.0
55122	993.0	44.79	64793.0	27.0	1.0	https://lichess.org/analysis/6k1/3p1ppp/3b4/1B1bB3/1n6/1P3N2/r4PPP/4R1K1_b_-_-	5572		 24. ... Nd3 25. Bxd3	Hanging Piece	55122.0	7.0
40251	1125.0	45.09	65127.0	21.0	1.0	https://lichess.org/analysis/r2qkb1r/pp1n1ppp/4pn2/3pNb2/3P2P1/2N1P3/PP3P1P/R1BQKB1R_b_KQkq_g3	5563		 8. ... Nxe5 9. dxe5	Fork / Double Attack	40251.0	7.0
42303	1006.0	44.45	63510.0	27.0	1.0	https://lichess.org/analysis/r1bq1k2/p4p2/1p1p1p1p/2pBr3/3bP2B/5QP1/P1P2P1P/3R1RK1_b_-_-	5559		 21. ... Bh3 22. Bxf6	Fork / Double Attack	42303.0	7.0
39330	930.0	44.88	59689.0	41.0	1.0	https://lichess.org/analysis/r3k2r/p4pp1/Q2bp2p/2pq3P/5P2/8/PPPB2P1/1K1R3R_b_kq_-	5548		 20. ... Rd8 21. Ba5	Discovered Attack	39330.0	15.0
41434	1242.0	45.96	65824.0	37.0	1.0	https://lichess.org/analysis/2br3k/p3qn1p/3Rp3/1pp1Pp2/2p2N2/2Q2PP1/PP4BP/6K1_w_-_-	5548		 29. Nd5 exd5	Hanging Piece	41434.0	7.0
31389	1024.0	45.19	64645.0	19.0	1.0	https://lichess.org/analysis/r7/8/P7/1K5R/3k4/8/8/8_b_-_-	5545		 64. ... Rb8+ 65. Kc6	Endgame Tactics	31389.0	7.0
31043	1008.0	44.91	63931.0	20.0	1.0	https://lichess.org/analysis/rnnqr3/p3bk1p/1pp3pB/2P1Pp2/2BP4/2N5/PP3P1P/R4RK1_b_-_-	5544		 18. ... Qd5 19. Nxd5	Mating Net	31043.0	7.0
28165	1006.0	44.73	64182.0	41.0	2.0	https://lichess.org/analysis/4b1k1/rp3pp1/2p4p/pPq1NP2/P1P5/2R1pN1P/2nrQ1PK/5R2_w_-_-	5542		 32. Nd3 Qd6+ 33. Kg1 Rxe2	Hanging Piece	28165.0	7.0
35885	1105.0	46.43	62827.0	34.0	1.0	https://lichess.org/analysis/2kr4/pp3ppp/1qn5/8/QPP5/4rN2/1P1NbPPP/R1BK3R_w_-_-	5541		 17. Kc2 Nxb4+	Mating Net	35885.0	7.0
35725	1123.0	45.47	64876.0	42.0	1.0	https://lichess.org/analysis/6k1/1p3p1p/p4Pp1/8/q7/1NP2Q2/1P2r1PP/2Kr4_w_-_-	5540		 31. Kxd1 Rxb2	Pin	35725.0	7.0
31253	1212.0	45.66	65716.0	39.0	1.0	https://lichess.org/analysis/4r2r/N4pk1/p2p1qp1/1p1Pp1p1/4P3/P1R4b/1P1Q1P1K/1B2R3_w_-_-	5529		 31. Rg1 Bf1+	Mate in 3+	31253.0	7.0
32639	1172.0	45.55	59633.0	55.0	1.0	https://lichess.org/analysis/1r2r3/2q2nkp/p1np1pp1/2pb4/2P1PPP1/3Q3P/P2N2B1/R2R2K1_w_-_-	5526		 30. Qxd5 Nb4	Trapped Piece	32639.0	7.0
28762	1024.0	45.42	65583.0	24.0	1.0	https://lichess.org/analysis/r2Nk3/ppp3p1/2np4/4p3/2B1n3/2NP4/PPP2bP1/R1BQ1K1r_w_q_-	5524		 14. Ke2 Nd4#	Mate in 1	28762.0	7.0
31037	1054.0	45.08	65136.0	23.0	1.0	https://lichess.org/analysis/3r1rk1/pp2q1bp/4p1p1/2p2P2/2P3n1/1P2Q3/PB1NB2P/R3N1K1_w_-_-	5524		 24. Bxg4 Bxb2	Hanging Piece	31037.0	7.0
36953	1107.0	45.4	58173.0	26.0	1.0	https://lichess.org/analysis/7r/pQ3ppk/4p3/4P3/3P2P1/2P1P1q1/2P4N/6K1_w_-_-	5524		 30. Kh1 Kg6	Discovered Attack	36953.0	7.0
34655	1159.0	45.74	64093.0	49.0	1.0	https://lichess.org/analysis/2b5/2r1kp2/pR1p1q2/2pPp1pr/2P1P2p/P3QN1P/5PPK/1R6_b_-_-	5523		 29. ... Qg6 30. Nxe5	Discovered Attack	34655.0	7.0
30035	1224.0	45.67	65063.0	22.0	1.0	https://lichess.org/analysis/r3kb1r/ppq2ppp/2b1pn2/1B6/3P4/2P2Q2/P2BNPPP/1R2K2R_b_Kkq_-	5522		 15. ... Ne4 16. Qxe4	Hanging Piece	30035.0	7.0
31123	1026.0	44.63	62107.0	44.0	1.0	https://lichess.org/analysis/r1bq1k1r/6p1/p2p1p2/1p1P4/5Bn1/1PP5/1P2QPPP/RN2R1K1_b_-_-	5520		 17. ... Bb7 18. Qxg4	Hanging Piece	31123.0	7.0
29617	1181.0	45.73	64906.0	24.0	1.0	https://lichess.org/analysis/5k2/pp3p2/4p3/3rP2R/4K2n/P1B5/1P3P2/8_b_-_-	5507		 39. ... Nf5 40. Rxf5	Exchange Sacrifice	29617.0	7.0
34080	938.0	44.38	60713.0	51.0	1.0	https://lichess.org/analysis/r7/1N1q1pk1/4nn2/p1p5/1pP5/5N1P/PPQ2PK1/4R3_w_-_-	5506		 32. Qf5 Qxb7	Hanging Piece	34080.0	15.0
31406	1054.0	44.6	64171.0	27.0	1.0	https://lichess.org/analysis/r2q1rk1/2p2ppp/p2pbn2/1p2n3/4PP2/1B2Q3/PPPN2PP/R1B2RK1_b_-_f3	5503		 12. ... Bxb3 13. fxe5	Hanging Piece	31406.0	7.0
32626	902.0	43.81	62391.0	37.0	1.0	https://lichess.org/analysis/3rk2r/1pp1b1pp/p1npB3/4p3/4PPn1/3P4/PPP3PP/RNBK1R2_b_k_-	5503		 11. ... Nd4 12. Bxg4	Hanging Piece	32626.0	7.0
